party,state,name,letra,type,fem,n,year
Morena,Cuarta,Luz Estefanía Rosas Martínez (aún no redactado),z,pr,1,231,2018
,Tercera,,,pr,,,2018
,Cuarta,,,pr,,,2018
,,,,,,,2018
PAN,Cuarta,Adriana Dávila Fernández,a,pr,1,1,2018
PAN,Querétaro,Ana Paola López Birlain,a,smd,1,2,2018
PAN,Nuevo León,Annia Gómez Cárdenas,a,smd,1,3,2018
PAN,Tercera,Antonia Natividad Díaz Jiménez (aún no redactado),a,pr,1,4,2018
PAN,Tercera,Cecilia Patrón Laviada,a,pr,1,5,2018
PAN,Chihuahua,Claudia Lastra Muñoz (aún no redactado),a,smd,1,6,2018
PAN,Quinta,Gloria Romero León,a,pr,1,7,2018
PAN,Segunda,Jacquelina Martínez Juárez (aún no redactado),a,pr,1,8,2018
PAN,San Luis Potosí,Josefina Salazar Báez,a,smd,1,9,2018
PAN,Quinta,Laura Rojas Hernández,a,pr,1,10,2018
PAN,Segunda,Marcela Torres Peimbert,a,pr,1,11,2018
PAN,Guanajuato,María del Pilar Ortega Martínez,a,smd,1,12,2018
PAN,Tercera,María del Rosario Guzmán Avilés,a,pr,1,13,2018
PAN,Guanajuato,María Eugenia Espinosa Rivas (aún no redactado),a,smd,1,14,2018
PAN,Quinta,María Liduvina Sandoval Mendoza (aún no redactado),a,pr,1,15,2018
PAN,Veracruz,Mariana Dunyaska García Rojas,a,smd,1,16,2018
PAN,Primera,Martha Elena García,a,pr,1,17,2018
PAN,Aguascalientes,Martha Elisa González Estrada (aún no redactado),a,smd,1,18,2018
PAN,Jalisco,Martha Estela Romo Cuéllar (aún no redactado),a,smd,1,19,2018
PAN,Primera,Mónica Palomarez Ching (aún no redactado),a,pr,1,20,2018
PAN,Primera,Patricia Terrazas Baca,a,pr,1,21,2018
PAN,Segunda,Silvia Garza Galván,a,pr,1,22,2018
PAN,Querétaro,Sonia Rocha Acosta,a,smd,1,23,2018
PAN,Segunda,Sylvia Violeta Garfias Cedillo (aún no redactado),a,pr,1,24,2018
PAN,Cuarta,Verónica María Sobrado Rodríguez (aún no redactado),a,pr,1,25,2018
PAN,Tercera,Dulce Alejandra García Morlan,e,pr,1,26,2018
PAN,Querétaro,Felipe Fernando Macías Olvera,e,smd,,27,2018
PAN,Jalisco,Guadalupe Romo Romo (aún no redactado),e,smd,1,28,2018
PAN,Guanajuato,Jorge Arturo Espadas Galván (aún no redactado),e,smd,,29,2018
PAN,Quinta,Jorge Luis Preciado Rodríguez,e,pr,,30,2018
PAN,Cuarta,Jorge Romero Herrera,e,pr,,31,2018
PAN,Primera,Madeleine Bonnafoux Alcaraz (aún no redactado),e,pr,1,32,2018
PAN,Tamaulipas,Vicente Verástegui Ostos (aún no redactado),e,smd,,33,2018
PAN,Tercera,José del Carmen Gómez Quej (aún no redactado),é,pr,,34,2018
PAN,Segunda,José Isabel Trejo Reyes,é,pr,,35,2018
PAN,Primera,José Ramón Cambero Pérez (aún no redactado),é,pr,,36,2018
PAN,Tamaulipas,José Salvador Rosas Quintanilla (aún no redactado),é,smd,,37,2018
PAN,Segunda,Nohemi Alemán Hernández (aún no redactado),i,pr,1,38,2018
PAN,Guanajuato,Sarai Núñez Cerón (aún no redactado),i,smd,1,39,2018
PAN,Cuarta,Daniel Martínez Terrazas,l,pr,,40,2018
PAN,Segunda,Isabel Margarita Guerra Villarreal (aún no redactado),l,pr,1,41,2018
PAN,Guanajuato,Michel González Márquez,l,smd,1,42,2018
PAN,Nuevo León,Rafael Alejandro Serna Vega (aún no redactado),l,smd,,43,2018
PAN,Segunda,Raúl Gracia Guzmán,l,pr,,44,2018
PAN,Jalisco,Absalón García Ochoa (aún no redactado),n,smd,,45,2018
PAN,Chihuahua,Alan Falomir Sáenz,n,smd,,46,2018
PAN,Nuevo León,Hernán Salinas Wolberg,n,smd,,47,2018
PAN,Quinta,Ivan Arturo Rodríguez Rivera (aún no redactado),n,pr,,48,2018
PAN,Guanajuato,Juan Carlos Romero Hicks,n,smd,,49,2018
PAN,Coahuila,Lenin Pérez Rivera,n,smd,,50,2018
PAN,Nuevo León,Martín López Cisneros,n,smd,,51,2018
PAN,Quinta,Adolfo Torres Ramírez (aún no redactado),o,pr,,52,2018
PAN,Michoacán,Armando Tejeda Cid (aún no redactado),o,smd,,53,2018
PAN,Primera,Ernesto Ruffo Appel,o,pr,,54,2018
PAN,Segunda,Fernando Torres Graciano,o,pr,,55,2018
PAN,Aguascalientes,Francisco Javier Luevano Núñez (aún no redactado),o,smd,,56,2018
PAN,Guanajuato,Justino Arriaga Rojas,o,smd,,57,2018
PAN,San Luis Potosí,Marcelino Rivera Hernández (aún no redactado),o,smd,,58,2018
PAN,Cuarta,Marco Adame Castillo,o,pr,,59,2018
PAN,Tamaulipas,Mario Alberto Ramos Tamez (aún no redactado),o,smd,,60,2018
PAN,Chihuahua,Mario Mata Carrasco,o,smd,,61,2018
PAN,Nuevo León,Ricardo Flores Suárez,o,smd,,62,2018
PAN,Veracruz,Ricardo García Escalante (aún no redactado),o,smd,,63,2018
PAN,Guanajuato,Ricardo Villarreal García,o,smd,,64,2018
PAN,Primera,Rigoberto Mares Aguilar (aún no redactado),o,pr,,65,2018
PAN,Guanajuato,Sergio Ascencio Barba (aún no redactado),o,smd,,66,2018
PAN,Guanajuato,Éctor Jaime Ramírez Barba,r,smd,,67,2018
PAN,Segunda,Víctor Manuel Pérez Díaz (aún no redactado),r,pr,,68,2018
PAN,Segunda,Xavier Azuara Zúñiga,r,pr,,69,2018
PAN,Guanajuato,Ángeles Ayala Díaz (aún no redactado),s,smd,,70,2018
PAN,Chihuahua,Ángeles Gutiérrez Valdez,s,smd,,71,2018
PAN,Tercera,Carlos Alberto Valenzuela González (aún no redactado),s,pr,,72,2018
PAN,Cuarta,Carlos Carreón Mejía (aún no redactado),s,pr,,73,2018
PAN,Primera,Carlos Castaños Valenzuela,s,pr,,74,2018
PAN,Segunda,Carlos Elhier Cinta Rodríguez (aún no redactado),s,pr,,75,2018
PAN,Yucatán,Elías Lixa Abimerhi,s,smd,,76,2018
PAN,Veracruz,Jesús Guzmán Aviles (aún no redactado),s,smd,,77,2018
PAN,Ciudad de México,Luis Mendoza Acevedo,s,smd,,78,2018
PAN,Segunda,Marcos Aguilar Vega,s,pr,,79,2018
PAN,Guanajuato,Janet Melanie Murillo Chávez (aún no redactado),t,smd,1,80,2018
,,,,,,,2018
Partido Encuentro Social,Primera,Irma María Terán Villalobos,a,pr,1,1,2018
,,,,,,,2018
PES,Tamaulipas,Adriana Lozano Rodríguez (aún no redactado),a,smd,1,1,2018
PES,Quintana Roo,Adriana Teissier Zavala,a,smd,1,2,2018
PES,México,Alma Delia Navarrete Rivera (aún no redactado),a,smd,1,3,2018
PES,México,Carolina García Aguilar (aún no redactado),a,smd,1,4,2018
PES,Tlaxcala,Claudia Pérez Rodríguez (aún no redactado),a,smd,1,5,2018
PES,Ciudad de México,Erika Vanessa del Castillo Ibarra (aún no redactado),a,smd,1,6,2018
