party,state,name,letra,type,fem,n,year
PAN,Nuevo León,Javier Zambrano Elizondo (aún no redactado),r,smd,,175,2006
PAN,Colima,Nabor Ochoa López,r,smd,,176,2006
PAN,Jalisco,Omar Borboa Becerra (aún no redactado),r,smd,,177,2006
PAN,Coahuila,Óscar Mohamar Dainitín (aún no redactado),r,smd,,178,2006
PAN,México,Salvador Arredondo Ibarra (aún no redactado),r,smd,,179,2006
PAN,Quinta,Víctor Manuel Torres Herrera (aún no redactado),r,pr,,180,2006
PAN,Tamaulipas,Carlos Alberto García González,s,smd,,181,2006
PAN,Sonora,Carlos Alberto Navarro Sugich (aún no redactado),s,smd,,182,2006
PAN,Primera,Carlos Alberto Torres Torres (aún no redactado),s,pr,,183,2006
PAN,Coahuila,Carlos Augusto Bracho González (aún no redactado),s,smd,,184,2006
PAN,Sinaloa,Carlos Felton González (aún no redactado),s,smd,,185,2006
PAN,México,Carlos Madrazo Limón,s,smd,,186,2006
PAN,Jalisco,Carlos René Sánchez Gil (aún no redactado),s,smd,,187,2006
PAN,Chihuahua,Carlos Reyes López,s,smd,,188,2006
PAN,Yucatán,Dolores del Socorro Rodríguez Sabido (aún no redactado),s,smd,1,189,2006
PAN,Baja California,Dolores Manuell-Gómez Angulo,s,smd,1,190,2006
PAN,Segunda,Jesús Arredondo Velázquez (aún no redactado),s,pr,,191,2006
PAN,Segunda,Jesús Vicente Flores Morfín (aún no redactado),s,pr,,192,2006
PAN,Tamaulipas,Luis Alonso Mejía García (aún no redactado),s,smd,,193,2006
PAN,Sonora,Luis Fernando Rodríguez Ahumada (aún no redactado),s,smd,,194,2006
PAN,Sonora,Luis Serrato Castell,s,smd,,195,2006
PAN,México,Luis Xavier Maawad Robert (aún no redactado),s,smd,,196,2006
PAN,Veracruz,Marcos Salas Contreras (aún no redactado),s,smd,,197,2006
PAN,Veracruz,Mercedes Morales Utrera (aún no redactado),s,smd,1,198,2006
PAN,Quinta,Tomas del Toro del Villar (aún no redactado),s,pr,,199,2006
PAN,Tercera,Addy Joaquín Coldwell,y,pr,1,200,2006
PAN,Segunda,Nelly Asunción Hurtado Pérez (aún no redactado),y,pr,1,201,2006
PAN,Tamaulipas,Beatriz Collado Lara (aún no redactado),z,smd,1,202,2006
PAN,San Luis Potosí,Beatriz Eugenia García Reyes (aún no redactado),z,smd,1,203,2006
PAN,Chihuahua,Cruz Pérez Cuéllar,z,smd,,204,2006
,Jalisco,,,smd,,,2006
,Quinta,,,pr,,,2006
,,,,,,,2006
Partido Alternativa Socialdemócrata y Campesina,Cuarta,Aída Marina Arvizu Rivas,a,pr,1,1,2006
Partido Alternativa Socialdemócrata y Campesina,Quinta,Elsa Conde Rodríguez (aún no redactado),a,pr,1,2,2006
Partido Alternativa Socialdemócrata y Campesina,Quinta,Armando García Méndez,o,pr,,3,2006
Partido Alternativa Socialdemócrata y Campesina,Tercera,Eduardo de la Torre Jaramillo,o,pr,,4,2006
,,,,,,,2006
PRD,Cuarta,Adriana Díaz Contreras,a,pr,1,1,2006
PRD,Distrito Federal,Aleida Alavez Ruiz,a,smd,1,2,2006
PRD,México,Alma Lilia Luna Munguía (aún no redactado),a,smd,1,3,2006
PRD,Quinta,Ana Yurixi Leyva Piñón (aún no redactado),a,pr,1,4,2006
PRD,Segunda,Aurora Cervantes Rodríguez (aún no redactado),a,pr,1,5,2006
PRD,Cuarta,Claudia Lilia Cruz Santiago (aún no redactado),a,pr,1,6,2006
PRD,Veracruz,Gloria Rasgado Corsi (aún no redactado),a,smd,1,7,2006
PRD,Tercera,Irena Aragón Castillo (aún no redactado),a,pr,1,8,2006
PRD,Segunda,Ma. Soledad López Torres (aún no redactado),a,pr,1,9,2006
PRD,Distrito Federal,María Elena Torres Baltazar (aún no redactado),a,smd,1,10,2006
PRD,Nayarit,María Eugenia Jiménez Valenzuela (aún no redactado),a,smd,1,11,2006
PRD,Distrito Federal,Maricela Contreras Julián,a,smd,1,12,2006
PRD,Tabasco,Mónica Fernández Balboa,a,smd,1,13,2006
PRD,Quinta,Rosa Elva Soriano Sánchez (aún no redactado),a,pr,1,14,2006
PRD,Distrito Federal,Silvia Oliva Fragoso,a,smd,1,15,2006
PRD,Primera,Sonia Nohelia Ibarra Franquez (aún no redactado),a,pr,1,16,2006
PRD,Zacatecas,Susana Monreal Ávila,a,smd,1,17,2006
PRD,Distrito Federal,Valentina Batres Guadarrama,a,smd,1,18,2006
PRD,Cuarta,Cuauhtémoc Sandoval Ramírez,c,pr,,19,2006
PRD,Tercera,Cuitláhuac Condado Escamilla (aún no redactado),c,pr,,20,2006
PRD,Distrito Federal,David Mendoza Arellano (aún no redactado),d,smd,,21,2006
PRD,Cuarta,David Sánchez Camacho,d,pr,,22,2006
PRD,Distrito Federal,Guadalupe Flores Salazar (aún no redactado),e,smd,1,23,2006
PRD,México,Jaime Espejel Lascano (aún no redactado),e,smd,,24,2006
PRD,Tabasco,Silbestre Álvarez Ramón (aún no redactado),e,smd,,25,2006
PRD,Distrito Federal,José Alfonso Suárez del Real,é,smd,,26,2006
PRD,Tercera,José Antonio Almazán González (aún no redactado),é,pr,,27,2006
PRD,México,José Antonio Saavedra Coronel (aún no redactado),é,smd,,28,2006
PRD,Cuarta,José Jácques y Medina,é,pr,,29,2006
PRD,Distrito Federal,José Luis Gutiérrez Calzadilla (aún no redactado),é,smd,,30,2006
PRD,Cuarta,Ruth Zavaleta Salgado,h,pr,1,31,2006
PRD,Primera,Tonatiuh Bravo Padilla,h,pr,,32,2006
PRD,Oaxaca,Daysi Hernández Gaytán (aún no redactado),i,smd,1,33,2006
PRD,Cuarta,Neftalí Garzón Contreras (aún no redactado),í,pr,,34,2006
PRD,Quinta,Erick López Barriga (aún no redactado),k,pr,,35,2006
PRD,Oaxaca,Daniel Dehesa Mora (aún no redactado),l,smd,,36,2006
PRD,Chiapas,Fernel Gálvez Rodríguez (aún no redactado),l,smd,,37,2006
PRD,México,Maribel Luis Alva Olvera (aún no redactado),l,smd,1,38,2006
PRD,Quinta,Miguel Ángel Arellano Pulido (aún no redactado),l,pr,,39,2006
PRD,Hidalgo,Miguel Ángel Peña Sánchez (aún no redactado),l,smd,,40,2006
PRD,Distrito Federal,Miguel Ángel Solares Chávez (aún no redactado),l,smd,,41,2006
PRD,México,Raciel Pérez Cruz (aún no redactado),l,smd,,42,2006
PRD,Morelos,Rafael Franco Melgarejo (aún no redactado),l,smd,,43,2006
PRD,México,Rafael Ramos Becerril (aún no redactado),l,smd,,44,2006
PRD,Tabasco,Rafael Sánchez Cabrales (aún no redactado),l,smd,,45,2006
PRD,Michoacán,Rafael Villicaña García (aún no redactado),l,smd,,46,2006
PRD,Michoacán,Raúl Ríos Gamboa (aún no redactado),l,smd,,47,2006
PRD,Distrito Federal,Adrián Pedrozo Castillo,n,smd,,48,2006
PRD,Oaxaca,Benjamín Hernández Silva (aún no redactado),n,smd,,49,2006
PRD,Quinta,Concepción Ojeda Hernández (aún no redactado),n,pr,1,50,2006
PRD,Distrito Federal,Efraín Morales Sánchez,n,smd,,51,2006
PRD,Guerrero,Efraín Peña Damacio (aún no redactado),n,smd,,52,2006
PRD,Oaxaca,Joaquín de los Santos Molina (aún no redactado),n,smd,,53,2006
